"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"LEGISLATIVE DISTRICT 18 - State Representative Pos. 2","WRITE-IN"," ",116,0.12,"Legislative"
"LEGISLATIVE DISTRICT 19 - State Senator","Dean Takko","(Prefers Democratic Party)",32773,44.64,"Legislative"
"LEGISLATIVE DISTRICT 19 - State Senator","Jeff Wilson","(Prefers Republican Party)",40560,55.25,"Legislative"
"LEGISLATIVE DISTRICT 19 - State Senator","WRITE-IN"," ",82,0.11,"Legislative"
"LEGISLATIVE DISTRICT 19 - State Representative Pos. 1","Jim Walsh","(Prefers Republican Party)",43315,59.32,"Legislative"
"LEGISLATIVE DISTRICT 19 - State Representative Pos. 1","Marianna Everson","(Prefers Democratic Party)",29625,40.57,"Legislative"
"LEGISLATIVE DISTRICT 19 - State Representative Pos. 1","WRITE-IN"," ",84,0.12,"Legislative"
"LEGISLATIVE DISTRICT 19 - State Representative Pos. 2","Joel McEntire","(Prefers Republican Party)",38369,52.54,"Legislative"
"LEGISLATIVE DISTRICT 19 - State Representative Pos. 2","Brian E. Blake","(Prefers Democratic Party)",34599,47.38,"Legislative"
"LEGISLATIVE DISTRICT 19 - State Representative Pos. 2","WRITE-IN"," ",60,0.08,"Legislative"
"LEGISLATIVE DISTRICT 20 - State Senator","John Braun","(Prefers Republican Party)",67304,96.7,"Legislative"
"LEGISLATIVE DISTRICT 20 - State Senator","WRITE-IN"," ",2299,3.3,"Legislative"
"LEGISLATIVE DISTRICT 20 - State Representative Pos. 1","Peter Abbarno","(Prefers Republican Party)",58484,70.73,"Legislative"
"LEGISLATIVE DISTRICT 20 - State Representative Pos. 1","Timothy Zahn","(Prefers Democratic Party)",24079,29.12,"Legislative"
"LEGISLATIVE DISTRICT 20 - State Representative Pos. 1","WRITE-IN"," ",120,0.15,"Legislative"
"LEGISLATIVE DISTRICT 20 - State Representative Pos. 2","Ed Orcutt","(Prefers Republican Party)",60030,72.76,"Legislative"
"LEGISLATIVE DISTRICT 20 - State Representative Pos. 2","Will Rollet","(Prefers Democratic Party)",22352,27.09,"Legislative"
"LEGISLATIVE DISTRICT 20 - State Representative Pos. 2","WRITE-IN"," ",125,0.15,"Legislative"
"LEGISLATIVE DISTRICT 21 - State Representative Pos. 1","Strom H. Peterson","(Prefers Democratic Party)",50793,64.57,"Legislative"
"LEGISLATIVE DISTRICT 21 - State Representative Pos. 1","Brian Thompson","(Prefers Republican Party)",27801,35.34,"Legislative"
"LEGISLATIVE DISTRICT 21 - State Representative Pos. 1","WRITE-IN"," ",72,0.09,"Legislative"
"LEGISLATIVE DISTRICT 21 - State Representative Pos. 2","Lillian Ortiz-Self","(Prefers Democratic Party)",51619,65.91,"Legislative"
"LEGISLATIVE DISTRICT 21 - State Representative Pos. 2","Amy Schaper","(Prefers Republican Party)",26607,33.97,"Legislative"
"LEGISLATIVE DISTRICT 21 - State Representative Pos. 2","WRITE-IN"," ",92,0.12,"Legislative"
"LEGISLATIVE DISTRICT 22 - State Senator","Sam Hunt","(Prefers Democratic Party)",60806,67.16,"Legislative"
"LEGISLATIVE DISTRICT 22 - State Senator","Garry Holland","(Prefers Republican Party)",29600,32.69,"Legislative"
"LEGISLATIVE DISTRICT 22 - State Senator","WRITE-IN"," ",134,0.15,"Legislative"
"LEGISLATIVE DISTRICT 22 - State Representative Pos. 1","Laurie Dolan","(Prefers Democratic Party)",59959,66.51,"Legislative"
"LEGISLATIVE DISTRICT 22 - State Representative Pos. 1","J. D. Ingram","(Prefers Republican Party)",30075,33.36,"Legislative"
"LEGISLATIVE DISTRICT 22 - State Representative Pos. 1","WRITE-IN"," ",121,0.13,"Legislative"
